freq,ref_ind,kappa,alpha,epsilon_r,epsilon_i,ref_ind_S,kappa_S,alpha_S,alpha_max,epsilonS_r,epsilonS_i,delta_N,delta_A,H_measure_r,H_measure_i,H_calc_r,H_calc_i,T_measure,T_calc
+2.15925745e+012,+3.06029232e+000,+7.06623586e-003,+6.39118171e+000,+9.36533913e+000,+4.32494946e-002,+3.06031477e+000,+7.09211823e-003,+6.41903221e+000,+3.33462065e+001,+9.36547621e+000,+4.34082284e-002,+7.44252258e-004,+6.77199279e-001,-1.85989624e-001,-2.16535422e-001,-1.85989624e-001,-2.16535422e-001,+2.85446544e-001,+2.85446544e-001
+2.16414265e+012,+3.06042090e+000,+7.03450363e-003,+6.37687569e+000,+9.36612663e+000,+4.30570839e-002,+3.06043483e+000,+7.08020276e-003,+6.42274588e+000,+3.33045758e+001,+9.36621121e+000,+4.33369982e-002,+8.65944475e-004,+5.67235134e-001,-2.79584124e-001,-6.04853489e-002,-2.79584124e-001,-6.04853490e-002,+2.86052023e-001,+2.86052023e-001
+2.16902785e+012,+3.06055089e+000,+7.02061057e-003,+6.37864776e+000,+9.36692246e+000,+4.29738719e-002,+3.06055634e+000,+7.07625181e-003,+6.43365202e+000,+3.32936287e+001,+9.36695504e+000,+4.33145347e-002,+7.64648019e-004,+6.68079254e-001,-2.59302666e-001,+1.20586024e-001,-2.59302666e-001,+1.20586024e-001,+2.85970037e-001,+2.85970037e-001
+2.17391304e+012,+3.06067905e+000,+7.02469901e-003,+6.39673705e+000,+9.36770689e+000,+4.30006982e-002,+3.06067912e+000,+7.08051400e-003,+6.45202610e+000,+3.33068073e+001,+9.36770657e+000,+4.33423628e-002,+7.30283383e-004,+6.70003856e-001,-1.33546257e-001,+2.51990825e-001,-1.33546257e-001,+2.51990825e-001,+2.85191126e-001,+2.85191126e-001
+2.17879824e+012,+3.06080365e+000,+7.04365118e-003,+6.42840849e+000,+9.36846935e+000,+4.31184664e-002,+3.06080371e+000,+7.09250240e-003,+6.47747385e+000,+3.33328295e+001,+9.36846905e+000,+4.34175153e-002,+9.23326865e-004,+3.58707449e-001,+4.53420193e-002,+2.80192158e-001,+4.53420193e-002,+2.80192158e-001,+2.83837179e-001,+2.83837179e-001
+2.18368344e+012,+3.06092527e+000,+7.07263421e-003,+6.46933272e+000,+9.36921348e+000,+4.32976096e-002,+3.06093125e+000,+7.11147727e-003,+6.50936565e+000,+3.33582351e+001,+9.36924957e+000,+4.35354861e-002,+6.93015129e-004,+6.23994223e-001,+2.03905221e-001,+1.94942363e-001,+2.03905221e-001,+1.94942363e-001,+2.82099032e-001,+2.82099032e-001
+2.18856864e+012,+3.06104678e+000,+7.10691643e-003,+6.51523357e+000,+9.36995691e+000,+4.35092074e-002,+3.06106320e+000,+7.13688302e-003,+6.54723472e+000,+3.33704435e+001,+9.37005699e+000,+4.36929000e-002,+6.96601387e-004,+5.93073452e-001,+2.78298202e-001,+3.22698717e-002,+2.78298202e-001,+3.22698717e-002,+2.80162870e-001,+2.80162870e-001
+2.19345383e+012,+3.06117254e+000,+7.14332542e-003,+6.56322877e+000,+9.37072631e+000,+4.37339033e-002,+3.06120078e+000,+7.16860060e-003,+6.59101111e+000,+3.33603706e+001,+9.37089883e+000,+4.38890515e-002,+7.34293160e-004,+5.37105964e-001,+2.39610155e-001,-1.41265220e-001,+2.39610155e-001,-1.41265220e-001,+2.78152636e-001,+2.78152636e-001
+2.19833903e+012,+3.06130709e+000,+7.18102390e-003,+6.61256041e+000,+9.37154953e+000,+4.39666387e-002,+3.06134445e+000,+7.20692854e-003,+6.64100869e+000,+3.33240108e+001,+9.37177793e+000,+4.41257815e-002,+7.07434257e-004,+5.54611917e-001,+1.04625818e-001,-2.55509920e-001,+1.04625818e-001,-2.55509920e-001,+2.76101215e-001,+2.76101215e-001
+2.20322423e+012,+3.06145372e+000,+7.22153459e-003,+6.66464167e+000,+9.37244671e+000,+4.42167878e-002,+3.06149350e+000,+7.25229195e-003,+6.69766064e+000,+3.32627650e+001,+9.37268985e+000,+4.44056893e-002,+6.60873510e-004,+5.84061661e-001,-7.10985955e-002,-2.64564742e-001,-7.10985954e-002,-2.64564742e-001,+2.73951661e-001,+2.73951661e-001
