,t,y
2141,1193.1031033474508,-1.8466509315264253e-10
2142,1193.053208830091,-1.7647964083668618e-10
2143,1193.0033143127314,-1.6920368322250275e-10
2144,1192.9534197953717,-1.6374671501186518e-10
2145,1192.903525278012,-1.5828974680122761e-10
2146,1192.8536307606523,-1.5374227329236297e-10
2147,1192.8037362432926,-1.482853050817254e-10
2148,1192.753841725933,-1.4373783157286076e-10
2149,1192.7039472085733,-1.382808633622232e-10
2150,1192.6540526912136,-1.3373338985335855e-10
2151,1192.6041581738539,-1.2827642164272098e-10
2152,1192.5542636564944,-1.2463844283562927e-10
2153,1192.5043691391347,-1.2100046402853756e-10
2154,1192.454474621775,-1.1827197992321877e-10
2155,1192.4045801044153,-1.1645299051967291e-10
2156,1192.3546855870557,-1.128150117125812e-10
2157,1192.304791069696,-1.0917703290548949e-10
2158,1192.2548965523363,-1.064485488001707e-10
2159,1192.2050020349766,-1.0190107529130606e-10
2160,1192.155107517617,-9.826309648421435e-11
2161,1192.1052130002572,-9.462511767712264e-11
2162,1192.0553184828975,-9.098713887003092e-11
2163,1192.005423965538,-8.734916006293921e-11
2164,1191.9555294481784,-8.37111812558475e-11
2165,1191.9056349308187,-7.825421304520993e-11
2166,1191.855740413459,-7.461623423811822e-11
2167,1191.8058458960993,-7.006876072925357e-11
2168,1191.7559513787396,-6.552128722038893e-11
2169,1191.70605686138,-6.097381371152429e-11
2170,1191.6561623440202,-5.642634020265965e-11
2171,1191.6062678266605,-5.096937199202208e-11
2172,1191.5563733093009,-4.3693414377838655e-11
2173,1191.5064787919412,-3.641745676365523e-11
2174,1191.4565842745817,-2.8232004447698875e-11
2175,1191.406689757222,-2.095604683351545e-11
2176,1191.3567952398623,-1.3680089219332023e-11
2177,1191.3069007225026,-6.404131605148598e-12
2178,1191.257006205143,8.71826009034828e-13
2179,1191.2071116877833,9.057278324991183e-12
2180,1191.1572171704236,1.8152225342720465e-11
2181,1191.1073226530639,2.7247172360449747e-11
2182,1191.0574281357042,3.9070603483497815e-11
2183,1191.0075336183445,4.9075045203000025e-11
2184,1190.9576391009848,5.907948692250224e-11
2185,1190.9077445836253,6.726493923845859e-11
2186,1190.8578500662657,7.635988625618787e-11
2187,1190.807955548906,8.636432797569008e-11
2188,1190.7580610315463,9.545927499341937e-11
2189,1190.7081665141866,1.0546371671292158e-10
2190,1190.658271996827,1.1728714783596964e-10
2191,1190.6083774794672,1.291105789590177e-10
2192,1190.5584829621075,1.4002451538029285e-10
2193,1190.5085884447478,1.50938451801568e-10
2194,1190.4586939273881,1.6003339881929727e-10
2195,1190.4087994100285,1.6912834583702655e-10
2196,1190.358904892669,1.7822329285475583e-10
2197,1190.3090103753093,1.8913722927603097e-10
2198,1190.2591158579496,1.9823217629376026e-10
2199,1190.20922134059,2.0732712331148954e-10
2200,1190.1593268232302,2.1642207032921882e-10
2201,1190.1094323058705,2.2369802794340225e-10
2202,1190.0595377885109,2.318834802593586e-10
2203,1190.0096432711512,2.39159437873542e-10
2204,1189.9597487537915,2.4643539548772543e-10
2205,1189.9098542364318,2.528018584001359e-10
2206,1189.859959719072,2.591683213125464e-10
2207,1189.8100652017126,2.655347842249569e-10
2208,1189.760170684353,2.719012471373674e-10
2209,1189.7102761669933,2.782677100497779e-10
2210,1189.6603816496336,2.837246782604155e-10
2211,1189.6104871322739,2.8827215176928013e-10
2212,1189.5605926149142,2.910006358745989e-10
2213,1189.5106980975545,2.946386146816906e-10
2214,1189.4608035801948,2.9827659348878234e-10
2215,1189.4109090628351,2.9827659348878234e-10
2216,1189.3610145454754,2.973670987870094e-10
2217,1189.3111200281157,2.9554810938346355e-10
2218,1189.2612255107563,2.9554810938346355e-10
2219,1189.2113309933966,2.946386146816906e-10
2220,1189.161436476037,2.937291199799177e-10
2221,1189.1115419586772,2.9191013057637184e-10
2222,1189.0616474413175,2.8918164647105305e-10
2223,1189.0117529239578,2.8554366766396134e-10
2224,1188.9618584065981,2.8190568885686963e-10
2225,1188.9119638892385,2.77358215348005e-10
2226,1188.8620693718788,2.719012471373674e-10
2227,1188.812174854519,2.655347842249569e-10
2228,1188.7622803371594,2.5734933190900057e-10
2229,1188.7123858198,2.5007337429481714e-10
2230,1188.6624913024402,2.4097842727708786e-10
2231,1188.6125967850805,2.3370246966290443e-10
2232,1188.5627022677209,2.2369802794340225e-10
2233,1188.5128077503612,2.1460308092567296e-10
2234,1188.4629132330015,2.0550813390794368e-10
2235,1188.4130187156418,1.9368470278489562e-10
2236,1188.363124198282,1.8277076636362048e-10
2237,1188.3132296809224,1.709473352405724e-10
2238,1188.2633351635627,1.6003339881929727e-10
2239,1188.2134406462033,1.482099676962492e-10
2240,1188.1635461288436,1.3638653657320114e-10
2241,1188.1136516114839,1.2365361074838014e-10
2242,1188.0637570941242,1.1001119022178622e-10
2243,1188.0138625767645,9.727826439696522e-11
2244,1187.9639680594048,8.454533857214423e-11
2245,1187.9140735420451,7.181241274732323e-11
2246,1187.8641790246854,6.089847632604809e-11
2247,1187.8142845073257,4.9075045203000025e-11
2248,1187.764389989966,3.9070603483497815e-11
2249,1187.7144954726064,2.8156667062222676e-11
2250,1187.664600955247,1.633323593917461e-11
2251,1187.6147064378872,6.328794219672397e-12
2252,1187.5648119205275,-2.766152798056885e-12
2253,1187.5149174031678,-1.0951605114013239e-11
2254,1187.4650228858081,-2.095604683351545e-11
2255,1187.4151283684484,-2.9141499149471803e-11
2256,1187.3652338510888,-3.8236446167201086e-11
2257,1187.315339333729,-4.551240378138451e-11
2258,1187.2654448163694,-5.187886669379501e-11
2259,1187.2155502990097,-5.733583490443258e-11
2260,1187.16565578165,-6.097381371152429e-11
2261,1187.1157612642905,-6.4611792518616e-11
2262,1187.0658667469309,-6.734027662393479e-11
2263,1187.0159722295712,-6.915926602748065e-11
2264,1186.9660777122115,-7.09782554310265e-11
2265,1186.9161831948518,-7.370673953634529e-11
2266,1186.866288677492,-7.552572893989114e-11
2267,1186.8163941601324,-7.7344718343437e-11
2268,1186.7664996427727,-7.7344718343437e-11
2269,1186.716605125413,-7.7344718343437e-11
2270,1186.6667106080533,-7.643522364166407e-11
2271,1186.6168160906936,-7.552572893989114e-11
2272,1186.5669215733342,-7.370673953634529e-11
2273,1186.5170270559745,-7.09782554310265e-11
2274,1186.4671325386148,-6.824977132570772e-11
2275,1186.4172380212551,-6.643078192216186e-11
2276,1186.3673435038954,-6.370229781684308e-11
2277,1186.3174489865357,-5.915482430797844e-11
2278,1186.267554469176,-5.551684550088672e-11
2279,1186.2176599518164,-5.096937199202208e-11
2280,1186.1677654344567,-4.642189848315744e-11
2281,1186.117870917097,-4.096493027251987e-11
