,freq,alpha_0deg,alpha_err_0deg,alpha_180deg,alpha_err_180deg,alpha_90deg,alpha_err_90deg
25,261294261000.0,2.90404899,0.318009833,2.66042409,0.247005346,2.54197942,0.244592636
26,263736264000.0,1.94347203,0.259301211,2.17751408,0.203540001,2.13253139,0.213963326
27,266178266000.0,2.47958993,0.306036305,2.16468562,0.231838986,2.22947578,0.23405838
28,268620269000.0,2.37594385,0.292401983,2.38790638,0.229402253,2.38631724,0.220105174
29,271062271000.0,1.93378067,0.290936498,1.91341039,0.230873497,1.94261634,0.220430145
30,273504274000.0,2.22706987,0.241757567,2.03957079,0.208847166,2.0482823,0.206604266
31,275946276000.0,2.18513477,0.245557392,2.28453128,0.207264583,2.28243545,0.204527774
32,278388278000.0,2.59696307,0.322133895,2.40348881,0.234728679,2.3620774,0.233838484
33,280830281000.0,2.29456238,0.260260442,2.4340381,0.183577921,2.37980659,0.197440516
34,283272283000.0,2.62784671,0.270884569,2.54324672,0.212275365,2.50187424,0.206138244
35,285714286000.0,2.73411309,0.318188164,2.72684157,0.254726977,2.70297721,0.257942801
36,288156288000.0,2.46445711,0.244912047,2.54594033,0.213063899,2.58554384,0.2142832
37,290598291000.0,2.79767889,0.244593949,2.56755018,0.231730981,2.57060313,0.213425033
38,293040293000.0,2.53353147,0.291868167,2.58479362,0.240740929,2.5995892,0.238680222
39,295482295000.0,2.62233213,0.245482987,2.5003702,0.227815445,2.53855191,0.23122081
40,297924298000.0,2.47168492,0.19741024,2.54236811,0.204509758,2.53638897,0.217769817
41,300366300000.0,2.67272993,0.235455336,2.62352791,0.214497519,2.58272971,0.23185123
42,302808303000.0,2.66832438,0.234340585,2.59999225,0.19447215,2.62558189,0.211721445
43,305250305000.0,2.72886881,0.270066283,2.73498009,0.202906932,2.80073736,0.211508807
44,307692308000.0,3.22105347,0.277585716,3.00375868,0.243222627,2.992474,0.240494017
45,310134310000.0,2.69057122,0.20169813,2.76419881,0.207045252,2.78163207,0.1983466
46,312576313000.0,3.07705309,0.284133501,2.8815275,0.2427347,2.96458765,0.225150617
47,315018315000.0,3.15873372,0.300125018,3.1381322,0.250839899,3.19045818,0.247108008
48,317460317000.0,2.78555881,0.22088052,2.76448439,0.233093113,2.82585285,0.23017117
49,319902320000.0,3.00261474,0.222523511,2.84572426,0.241754689,2.91050633,0.228093954
50,322344322000.0,2.97826499,0.249143826,3.04545727,0.21705615,3.07675332,0.222162552
51,324786325000.0,3.06663737,0.231066302,2.91694287,0.240675036,2.96550046,0.229849928
52,327228327000.0,2.97720758,0.203935312,3.00521199,0.273419149,2.99963729,0.226436831
53,329670330000.0,3.13287401,0.218603162,3.07805824,0.227584668,3.07943747,0.216385802
54,332112332000.0,3.32142062,0.240017792,3.25512925,0.247260462,3.30159094,0.214299773
55,334554335000.0,3.34572269,0.241291218,3.44074149,0.27619647,3.40577058,0.228274423
56,336996337000.0,3.39009783,0.249017236,3.29322231,0.260000105,3.3484427,0.24091065
57,339438339000.0,3.32679388,0.227254043,3.376111,0.255702714,3.49726162,0.249457963
58,341880342000.0,3.50171527,0.22807671,3.4374048,0.257531453,3.48913005,0.248021327
59,344322344000.0,3.35006433,0.239435352,3.33155048,0.236638891,3.36818767,0.236008895
60,346764347000.0,3.43526344,0.252332045,3.31726754,0.253921837,3.3789623,0.238862742
61,349206349000.0,3.59583087,0.221573009,3.55414716,0.22515642,3.56822786,0.232699235
62,351648352000.0,3.5592336,0.232344517,3.65740225,0.248112759,3.61826253,0.229587356
63,354090354000.0,3.61890573,0.234989594,3.53527466,0.255261463,3.61040595,0.221078888
64,356532357000.0,3.72198061,0.230166443,3.69225982,0.213568919,3.73359336,0.205120099
65,358974359000.0,3.88065986,0.276886569,3.83067741,0.282019398,3.83606169,0.255757238
66,361416361000.0,3.73332996,0.245626377,3.74025661,0.262437146,3.82768541,0.24378949
67,363858364000.0,3.89772571,0.231373707,3.82728098,0.251534623,3.83240394,0.224124827
68,366300366000.0,3.83892979,0.261263201,3.76553415,0.248382208,3.77775887,0.247908898
69,368742369000.0,3.81999455,0.231143785,3.80745253,0.260783456,3.87700549,0.238744283
70,371184371000.0,4.13462306,0.20529963,4.07217633,0.251036637,4.05179299,0.244575572
71,373626374000.0,3.9378841,0.257562859,3.94126627,0.238085469,3.89711718,0.241219678
72,376068376000.0,3.99958918,0.221834441,3.88702618,0.331070637,3.9646279,0.233149261
73,378510379000.0,4.12461614,0.243620601,4.0176912,0.296039671,4.09945617,0.225777231
74,380952381000.0,4.22416304,0.239203892,4.1716816,0.33888056,4.15423385,0.250005582
75,383394383000.0,4.18455687,0.232550466,4.17068387,0.306898587,4.10567987,0.239262793
76,385836386000.0,4.11040422,0.241182362,4.10748801,0.253224391,4.131612,0.228859086
77,388278388000.0,4.48813456,0.228658568,4.45620248,0.332286253,4.45990005,0.255640062
78,390720391000.0,4.34196821,0.22202852,4.38515338,0.341736392,4.28660621,0.272799074
