,freq,a,b
255,81375000000.0,0.7471584615666784,0.7313523209505561
256,81400000000.0,0.7465965989120102,0.7309191212275521
257,81425000000.0,0.7460261582012816,0.7304829542653676
258,81450000000.0,0.7454478897512223,0.7300444603388756
259,81475000000.0,0.7448625506328845,0.7296042786197124
260,81500000000.0,0.7442709029016054,0.7291630457302573
261,81525000000.0,0.7436737119247393,0.7287213943985044
262,81550000000.0,0.7430717447361026,0.7282799521362251
263,81575000000.0,0.7424657684121716,0.727839339960805
264,81600000000.0,0.7418565484527428,0.7274001711339817
265,81625000000.0,0.7412448472674826,0.7269630499977774
266,81650000000.0,0.7406314226341203,0.7265285707762936
267,81675000000.0,0.7400170262638304,0.7260973165199751
268,81700000000.0,0.7394024023305504,0.7256698579910346
269,81725000000.0,0.7387882861640425,0.7252467527036741
270,81750000000.0,0.7381754028619195,0.724828543914865
271,81775000000.0,0.7375644660636937,0.7244157597406587
272,81800000000.0,0.7369561767066636,0.7240089122629179
273,81825000000.0,0.7363512218630429,0.7236084967278237
274,81850000000.0,0.7357502736515849,0.7232149907766936
275,81875000000.0,0.7351539881505379,0.7228288537074176
276,81900000000.0,0.7345630044242901,0.7224505258112738
277,81925000000.0,0.7339779435636292,0.7220804277337225
278,81950000000.0,0.7333994078335416,0.7217189599066096
279,81975000000.0,0.7328279798225957,0.7213665020020398
280,82000000000.0,0.7322642216799574,0.7210234124245767
281,82025000000.0,0.7317086744359946,0.7206900278941454
282,82050000000.0,0.7311618573368542,0.7203666630098028
283,82075000000.0,0.7306242672710742,0.720053609900994
284,82100000000.0,0.7300963782473034,0.7197511378948053
285,82125000000.0,0.729578640927813,0.7194594932264071
286,82150000000.0,0.7290714822388833,0.7191788987918781
287,82175000000.0,0.7285753050337527,0.7189095539452164
288,82200000000.0,0.7280904878325721,0.7186516343180333
289,82225000000.0,0.7276173845819827,0.7184052916525094
290,82250000000.0,0.7271563245530399,0.7181706537283205
291,82275000000.0,0.7267076122248796,0.7179478242391926
292,82300000000.0,0.7262715272929063,0.7177368827659215
293,82325000000.0,0.7258483247390074,0.7175378847524347
294,82350000000.0,0.7254382348905042,0.7173508614600904
295,82375000000.0,0.725041463695628,0.7171758200446062
296,82400000000.0,0.7246581929217586,0.7170127435571543
297,82425000000.0,0.7242885805117623,0.7168615910090915
298,82450000000.0,0.7239327609988233,0.7167222974549049
299,82475000000.0,0.7235908459400016,0.7165947740484284
300,82500000000.0,0.7232629245191692,0.7164789081676742
301,82525000000.0,0.7229490641523761,0.7163745635013501
302,82550000000.0,0.7226493111960732,0.716281580162313
303,82575000000.0,0.7223636917222732,0.7161997747867869
304,82600000000.0,0.722092212382713,0.716128940659495
305,82625000000.0,0.7218348613379981,0.7160688478227283
306,82650000000.0,0.7215916092893891,0.716019243210373
307,82675000000.0,0.7213624104952355,0.7159798507321368
308,82700000000.0,0.7211472039376463,0.7159503714353764
309,82725000000.0,0.7209459145080243,0.7159304836691889
310,82750000000.0,0.7207584542157064,0.7159198432698793
311,82775000000.0,0.7205847233455215,0.7159180837582564
312,82800000000.0,0.720424611747298,0.71592481676212
313,82825000000.0,0.7202779998819561,0.7159396323872814
314,82850000000.0,0.7201447598447964,0.7159620998681736
315,82875000000.0,0.720024756217571,0.7159917684500653
316,82900000000.0,0.7199178465990801,0.7160281685540364
317,82925000000.0,0.719823881785555,0.716070813349083
318,82950000000.0,0.7197427054895917,0.7161192008537437
319,82975000000.0,0.719674153507754,0.7161728166693757
320,83000000000.0,0.7196180521061183,0.7162311373674288
321,83025000000.0,0.719574215773773,0.7162936347946522
322,83050000000.0,0.7195424439868635,0.7163597810782151
323,83075000000.0,0.7195225173344878,0.7164290545628149
324,83100000000.0,0.719514192876637,0.7165009463602948
325,83125000000.0,0.7195171991231633,0.7165749673704745
326,83150000000.0,0.719531230892111,0.7166506553695917
327,83175000000.0,0.7195559446159481,0.716727581727472
328,83200000000.0,0.719590954502092,0.716805357173604
329,83225000000.0,0.719635830176639,0.7168836361251129
330,83250000000.0,0.7196900962176408,0.7169621191353893
331,83275000000.0,0.7197532337653944,0.7170405531323449
332,83300000000.0,0.7198246843946391,0.7171187295166194
333,83325000000.0,0.71990385591854,0.7171964802376605
334,83350000000.0,0.7199901296867671,0.7172736722555471
335,83375000000.0,0.7200828689443419,0.7173502010394052
336,83400000000.0,0.7201814275104376,0.7174259836186189
337,83425000000.0,0.7202851582795603,0.7175009518053274
338,83450000000.0,0.720393421009778,0.7175750459950768
339,83475000000.0,0.7205055892092663,0.7176482099609187
340,83500000000.0,0.7206210557847975,0.7177203866813056
341,83525000000.0,0.7207392374932616,0.7177915153036784
342,83550000000.0,0.7208595783401707,0.7178615292414428
343,83575000000.0,0.7209815518492846,0.7179303551327599
344,83600000000.0,0.7211046625503332,0.7179979126402176
345,83625000000.0,0.7212284467323791,0.71806411483656
346,83650000000.0,0.7213524726649783,0.7181288690547277
347,83675000000.0,0.7214763404373794,0.7181920780673962
348,83700000000.0,0.7215996814718065,0.7182536414275636
349,83725000000.0,0.7217221578749002,0.7183134569472331
350,83750000000.0,0.7218434616884563,0.7183714222088114
351,83775000000.0,0.7219633139849899,0.7184274360000902
352,83800000000.0,0.7220814640297457,0.7184813997538847
353,83825000000.0,0.7221976883773452,0.7185332188620064
354,83850000000.0,0.7223117899973177,0.7185828038993459
355,83875000000.0,0.7224235973654265,0.7186300716989737
356,83900000000.0,0.7225329636961795,0.7186749464045576
357,83925000000.0,0.7226397660124437,0.7187173602627214
358,83950000000.0,0.7227439044328258,0.7187572544646107
359,83975000000.0,0.7228453013196925,0.7187945797486541
360,84000000000.0,0.7229439005201208,0.7188292969739918
361,84025000000.0,0.7230396665527625,0.7188613775372441
362,84050000000.0,0.7231325838952226,0.7188908037867588
363,84075000000.0,0.723222656152338,0.7189175692470859
364,84100000000.0,0.7233099053196828,0.7189416788426714
365,84125000000.0,0.7233943709611692,0.7189631489906122
366,84150000000.0,0.7234761094690233,0.7189820076909917
367,84175000000.0,0.7235551931910642,0.7189982944494926
368,84200000000.0,0.7236317096988781,0.7190120602726976
369,84225000000.0,0.7237057608965317,0.719023367480354
370,84250000000.0,0.7237774622018417,0.7190322895314689
371,84275000000.0,0.7238469417554978,0.7190389108378336
372,84300000000.0,0.7239143394752733,0.7190433264118276
373,84325000000.0,0.7239798062521878,0.71904564159151
374,84350000000.0,0.7240435030636329,0.7190459716655146
375,84375000000.0,0.7241056001098726,0.7190444414894631
376,84400000000.0,0.7241662759023173,0.7190411850227361
377,84425000000.0,0.724225716408859,0.7190363448800713
378,84450000000.0,0.7242841141895683,0.7190300718540832
379,84475000000.0,0.7243416674625568,0.71902252433739
380,84500000000.0,0.7243985793024905,0.7190138678332202
381,84525000000.0,0.7244550567442835,0.7190042743498364
382,84550000000.0,0.7245113099236884,0.7189939218017811
383,84575000000.0,0.7245675512559464,0.7189829934050256
384,84600000000.0,0.7246239946289234,0.718971677062702
385,84625000000.0,0.7246808545552194,0.7189601646867089
386,84650000000.0,0.7247383454145937,0.7189486515536674
387,84675000000.0,0.7247966806878274,0.718937335645966
388,84700000000.0,0.7248560722007081,0.7189264169621089
389,84725000000.0,0.7249167294072023,0.7189160968351184
390,84750000000.0,0.7249788587106487,0.7189065772609068
391,84775000000.0,0.7250426627704817,0.7188980601928926
392,84800000000.0,0.7251083398926833,0.7188907468862075
393,84825000000.0,0.725176083364435,0.7188848371696236
394,84850000000.0,0.7252460809323596,0.7188805288319405
395,84875000000.0,0.725318514211571,0.7188780169205571
396,84900000000.0,0.7253935581652239,0.7188774931002411
397,84925000000.0,0.7254713806261619,0.7188791450264919
398,84950000000.0,0.7255521417884636,0.7188831556853502
399,84975000000.0,0.7256359938317686,0.718889702844502
400,85000000000.0,0.7257230804969397,0.7188989584470982
401,85025000000.0,0.7258135366743791,0.7189110880226721
402,85050000000.0,0.7259074881317233,0.7189262502097056
403,85075000000.0,0.7260050511413194,0.7189445961963972
404,85100000000.0,0.7261063322231431,0.71896626925672
405,85125000000.0,0.7262114279154038,0.7189914043158852
406,85150000000.0,0.7263204245175178,0.7190201275046529
407,85175000000.0,0.7264333979239384,0.7190525557836553
408,85200000000.0,0.7265504134438128,0.7190887965727695
409,85225000000.0,0.7266715256805569,0.719128947437529
410,85250000000.0,0.726796778445474,0.7191730958198839
411,85275000000.0,0.7269262046481644,0.719221318745105
412,85300000000.0,0.7270598262784131,0.7192736826388265
413,85325000000.0,0.72719765437259,0.7193302431195582
414,85350000000.0,0.7273396890420202,0.7193910448790932
415,85375000000.0,0.7274859195146839,0.7194561215708061
