freq            ,ref_ind         ,kappa           ,alpha           ,epsilon_r       ,epsilon_i       ,ref_ind_S       ,kappa_S         ,alpha_S         ,alpha_max       ,epsilonS_r      ,epsilonS_i      ,delta_N         ,delta_A         ,H_measure_r     ,H_measure_i     ,H_calc_r        ,H_calc_i        ,T_measure       ,T_calc          ,thickness       ,allThicknesses  ,QSnValue        ,QSkValue        ,Num_Thickness   ,N_std           ,delta_K         ,delta_Eps_1     ,delta_Eps_2     
+1.22388143e+011,+1.54188758e+000,+8.09562707e-004,+4.15029003e-002,+2.37741665e+000,+2.49650936e-003,+1.54188758e+000,+8.09562707e-004,+4.15316322e-002,+1.65835396e+001,+2.37741665e+000,+2.49650936e-003,+7.62168970e-005,+3.91011695e-003,+1.34425888e-001,+9.68005821e-001,+1.34425888e-001,+9.68005821e-001,+9.77295037e-001,+9.77295037e-001,                ,+8.05000000e+003,+8.85766501e-001,+6.71342950e-001,+0.00000000e+000,                ,+7.62186481e-005,+2.35159181e-004,+2.35164578e-004
+1.27283668e+011,+1.54257378e+000,+6.84205169e-004,+3.64793964e-002,+2.37953341e+000,+2.11087392e-003,+1.54257378e+000,+6.84205169e-004,+3.65046506e-002,+1.63945532e+001,+2.37953341e+000,+2.11087392e-003,+8.14632318e-005,+4.34642938e-003,+4.96042897e-001,+7.52487415e-001,+4.96042897e-001,+7.52487414e-001,+9.01274578e-001,+9.01274578e-001,                ,+8.06000000e+003,+8.82310615e-001,+7.29291224e-001,+0.00000000e+000,                ,+8.14649478e-005,+2.51437569e-004,+2.51442861e-004
+1.32179194e+011,+1.54234531e+000,-3.75404261e-004,-2.07850420e-002,+2.37882893e+000,-1.15800600e-003,+1.54234531e+000,-3.75404261e-004,-2.07994312e-002,+1.54649189e+001,+2.37882893e+000,-1.15800600e-003,+1.09669938e-004,+6.07642743e-003,+8.29622400e-001,+5.50501572e-001,+8.29622400e-001,+5.50501571e-001,+9.95653206e-001,+9.95653206e-001,                ,+8.07000000e+003,+8.79369503e-001,+7.91998490e-001,+0.00000000e+000,                ,+1.09672074e-004,+3.38215488e-004,+3.38222076e-004
+1.37074720e+011,+1.54296125e+000,+6.73917564e-004,+3.86948130e-002,+2.38072898e+000,+2.07965738e-003,+1.54296125e+000,+6.73917564e-004,+3.87216008e-002,+1.57152440e+001,+2.38072898e+000,+2.07965738e-003,+9.80968661e-005,+5.63650033e-003,+9.27912397e-001,+4.81373357e-002,+9.27912397e-001,+4.81373358e-002,+9.29160169e-001,+9.29160169e-001,                ,+8.08000000e+003,+8.76936726e-001,+8.58494417e-001,+0.00000000e+000,                ,+9.80986450e-005,+3.02851548e-004,+3.02857035e-004
+1.41970246e+011,+1.54441092e+000,+3.22835707e-004,+1.91985092e-002,+2.38520498e+000,+9.97181983e-004,+1.54441092e+000,+3.22835707e-004,+1.92118001e-002,+1.60024507e+001,+2.38520498e+000,+9.97181983e-004,+8.42661358e-005,+5.01472294e-003,+8.79150364e-001,-3.14177537e-001,+8.79150364e-001,-3.14177537e-001,+9.33602104e-001,+9.33602104e-001,                ,+8.09000000e+003,+9.02791160e-001,+9.28023470e-001,+0.00000000e+000,                ,+8.42675658e-005,+2.60337490e-004,+2.60341906e-004
+1.46865771e+011,+1.54325449e+000,+4.14346384e-004,+2.54901712e-002,+2.38163426e+000,+1.27888384e-003,+1.54325449e+000,+4.14346384e-004,+2.55078177e-002,+1.62460523e+001,+2.38163426e+000,+1.27888384e-003,+7.25988373e-005,+4.46936971e-003,+6.61512290e-001,-7.23569812e-001,+6.61512290e-001,-7.23569812e-001,+9.80383488e-001,+9.80383488e-001,                ,+8.10000000e+003,+9.74213156e-001,+1.00000000e+000,+0.00000000e+000,                ,+7.25999848e-005,+2.24137127e-004,+2.24140667e-004
+1.51761297e+011,+1.54462703e+000,+2.43012525e-003,+1.54482147e-001,+2.38586675e+000,+7.50727428e-003,+1.54462703e+000,+2.43012525e-003,+1.54589093e-001,+1.53673948e+001,+2.38586675e+000,+7.50727428e-003,+1.04865449e-004,+6.67097074e-003,+2.46199630e-001,-8.26427793e-001,+2.46199630e-001,-8.26427793e-001,+8.62320796e-001,+8.62320796e-001,                ,                ,                ,                ,                ,                ,+1.04867000e-004,+3.24465693e-004,+3.24470478e-004
+1.56656823e+011,+1.54389169e+000,+2.17707263e-003,+1.42860064e-001,+2.38359680e+000,+6.72232866e-003,+1.54389169e+000,+2.17707263e-003,+1.42958964e-001,+1.56996971e+001,+2.38359680e+000,+6.72232866e-003,+8.62227059e-005,+5.66195150e-003,-1.10001179e-001,-9.26549454e-001,-1.10001179e-001,-9.26549454e-001,+9.33056349e-001,+9.33056349e-001,                ,                ,                ,                ,                ,                ,+8.62239014e-005,+2.66612469e-004,+2.66616155e-004
+1.61552348e+011,+1.54426130e+000,+7.40776636e-004,+5.01290139e-002,+2.38474241e+000,+2.28790538e-003,+1.54426130e+000,+7.40776636e-004,+5.01637175e-002,+1.48743448e+001,+2.38474241e+000,+2.28790538e-003,+1.17007110e-004,+7.92356055e-003,-5.46217996e-001,-7.38431695e-001,-5.46217996e-001,-7.38431695e-001,+9.18496308e-001,+9.18496308e-001,                ,                ,                ,                ,                ,                ,+1.17008643e-004,+3.61552459e-004,+3.61557192e-004
+1.66447874e+011,+1.54334112e+000,+2.29770159e-003,+1.60199253e-001,+2.38189653e+000,+7.09227468e-003,+1.54334112e+000,+2.29770159e-003,+1.60310157e-001,+1.50350074e+001,+2.38189653e+000,+7.09227468e-003,+1.08035317e-004,+7.53769433e-003,-7.35361590e-001,-4.93933645e-001,-7.35361590e-001,-4.93933645e-001,+8.85848245e-001,+8.85848245e-001,                ,                ,                ,                ,                ,                ,+1.08036650e-004,+3.33967165e-004,+3.33971273e-004
+1.71343400e+011,+1.54357815e+000,+1.93816424e-003,+1.39106225e-001,+2.38262975e+000,+5.98341593e-003,+1.54357815e+000,+1.93816424e-003,+1.39202526e-001,+1.51134546e+001,+2.38262975e+000,+5.98341593e-003,+9.97668895e-005,+7.16552549e-003,-9.28220211e-001,-6.71997742e-002,-9.28220211e-001,-6.71997743e-002,+9.30649542e-001,+9.30649542e-001,                ,                ,                ,                ,                ,                ,+9.97680546e-005,+3.08382715e-004,+3.08386308e-004
