frequency/GHz;epsilon_r';epsilon_r'';n;alpha
92.45;2.1473792603;0.0088584118;1.4653970097;0.117048565
92.475;2.1474426289;0.0087979875;1.4654185887;0.1162798856
92.5;2.1475078896;0.0087392229;1.4654408144;0.1155326888
92.525;2.1475749865;0.0086822413;1.4654636678;0.1148086219
92.55;2.1476438579;0.0086271646;1.4654871278;0.1141093185
92.575;2.1477144363;0.0085741131;1.4655111714;0.1134363934
92.6;2.1477866483;0.0085232054;1.4655357737;0.1127914378
92.625;2.1478604152;0.0084745578;1.4655609078;0.1121760147
92.65;2.1479356525;0.0084282837;1.4655865448;0.1115916538
92.675;2.1480122703;0.0083844939;1.4656126542;0.1110398468
92.7;2.1480901738;0.0083432956;1.4656392036;0.110522043
92.725;2.1481692628;0.0083047925;1.4656661589;0.1100396445
92.75;2.1482494325;0.0082690841;1.4656934843;0.1095940017
92.775;2.1483305733;0.0082362659;1.4657211424;0.1091864093
92.8;2.148412571;0.0082064285;1.4657490944;0.1088181016
92.825;2.1484953076;0.0081796576;1.4657772999;0.1084902485
92.85;2.1485786608;0.0081560337;1.4658057173;0.1082039518
92.875;2.1486625047;0.0081356318;1.4658343037;0.1079602414
92.9;2.1487467099;0.0081185212;1.4658630149;0.107760071
92.925;2.148831144;0.0081047649;1.4658918057;0.1076043156
92.95;2.1489156715;0.00809442;1.4659206301;0.1074937678
92.975;2.1490001545;0.0080875368;1.465949441;0.1074291345
93;2.1490844529;0.008084159;1.4659781906;0.1074110345
93.025;2.1491684246;0.0080843235;1.4660068305;0.1074399958
93.05;2.1492519258;0.0080880601;1.4660353116;0.1075164529
93.075;2.1493348116;0.0080953912;1.4660635847;0.107640745
93.1;2.1494169362;0.0081063322;1.4660915999;0.1078131138
93.125;2.1494981532;0.0081208908;1.4661193074;0.108033702
93.15;2.1495783159;0.0081390672;1.4661466571;0.108302552
93.175;2.1496572779;0.0081608538;1.4661735993;0.1086196044
93.2;2.1497348933;0.0081862355;1.4662000841;0.1089846973
93.225;2.1498110168;0.0082151895;1.4662260621;0.1093975657
93.25;2.1498855048;0.0082476851;1.4662514842;0.109857841
93.275;2.1499582148;0.0082836838;1.466276302;0.110365051
93.3;2.1500290067;0.0083231395;1.4663004677;0.1109186203
93.325;2.1500977423;0.0083659984;1.4663239343;0.1115178702
93.35;2.1501642864;0.008412199;1.4663466556;0.1121620197
93.375;2.1502285067;0.0084616723;1.4663685865;0.1128501869
93.4;2.1502902742;0.0085143419;1.4663896831;0.1135813897
93.425;2.1503494637;0.008570124;1.4664099026;0.1143545474
93.45;2.1504059538;0.0086289277;1.4664292039;0.1151684829
93.475;2.1504596279;0.008690655;1.466447547;0.1160219245
93.5;2.1505103736;0.0087552013;1.4664648938;0.1169135081
93.525;2.1505580839;0.0088224553;1.4664812076;0.1178417799
93.55;2.1506026566;0.0088922991;1.4664964536;0.1188051996
93.575;2.1506439956;0.0089646088;1.4665105992;0.1198021428
93.6;2.1506820103;0.0090392547;1.4665236132;0.1208309048
93.625;2.1507166162;0.0091161014;1.466535467;0.121889704
93.65;2.1507477352;0.0091950082;1.4665461339;0.1229766858
93.675;2.1507752958;0.0092758291;1.4665555894;0.1240899263
93.7;2.1507992332;0.0093584139;1.4665638115;0.1252274365
93.725;2.1508194898;0.0094426077;1.4665707803;0.1263871673
93.75;2.1508360149;0.0095282515;1.4665764785;0.127567013
93.775;2.1508487652;0.0096151829;1.4665808914;0.1287648171
93.8;2.150857705;0.0097032361;1.4665840067;0.1299783762
93.825;2.1508628062;0.0097922424;1.4665858145;0.131205446
93.85;2.1508640482;0.0098820305;1.466586308;0.1324437457
93.875;2.1508614185;0.0099724271;1.4665854826;0.1336909637
93.9;2.1508549123;0.0100632572;1.4665833366;0.1349447628
93.925;2.150844533;0.0101543445;1.4665798709;0.136202786
93.95;2.1508302915;0.0102455117;1.4665750893;0.1374626616
93.975;2.1508122072;0.0103365813;1.4665689981;0.1387220094
94;2.1507903072;0.0104273754;1.4665616064;0.1399784456
94.025;2.1507646265;0.010517717;1.4665529261;0.1412295896
94.05;2.1507352082;0.0106074296;1.4665429714;0.1424730687
94.075;2.1507021031;0.010696338;1.4665317597;0.1437065245
94.1;2.1506653697;0.0107842688;1.4665193107;0.1449276182
94.125;2.1506250742;0.0108710506;1.4665056467;0.1461340367
94.15;2.1505812902;0.0109565147;1.4664907927;0.1473234977
94.175;2.1505340987;0.011040495;1.466474776;0.148493756
94.2;2.1504835878;0.0111228293;1.4664576264;0.1496426082
94.225;2.1504298526;0.0112033586;1.4664393763;0.1507678987
94.25;2.1503729949;0.0112819283;1.46642006;0.1518675247
94.275;2.1503131231;0.0113583883;1.4663997144;0.1529394414
94.3;2.1502503518;0.0114325934;1.4663783782;0.1539816672
94.325;2.1501848015;0.0115044036;1.4663560924;0.154992288
94.35;2.1501165986;0.0115736844;1.4663328999;0.1559694626
94.375;2.1500458748;0.0116403073;1.4663088453;0.1569114265
94.4;2.1499727668;0.01170415;1.4662839751;0.1578164969
94.425;2.1498974162;0.0117650966;1.4662583374;0.1586830761
94.45;2.149819969;0.0118230381;1.4662319817;0.1595096555
94.475;2.1497405752;0.0118778724;1.4662049591;0.1602948196
94.5;2.1496593884;0.0119295048;1.4661773218;0.1610372488
94.525;2.1495765657;0.011977848;1.4661491231;0.1617357227
94.55;2.1494922669;0.0120228224;1.4661204175;0.162389123
94.575;2.1494066546;0.0120643561;1.4660912602;0.1629964359
94.6;2.1493198931;0.0121023855;1.4660617073;0.1635567542
94.625;2.1492321488;0.0121368549;1.4660318151;0.1640692796
94.65;2.149143589;0.0121677169;1.4660016409;0.1645333239
94.675;2.1490543822;0.0121949323;1.465971242;0.1649483105
94.7;2.1489646972;0.0122184706;1.4659406757;0.1653137756
94.725;2.1488747026;0.0122383093;1.4659099998;0.1656293685
94.75;2.148784567;0.0122544347;1.4658792715;0.1658948522
94.775;2.1486944577;0.0122668412;1.4658485479;0.1661101034
94.8;2.1486045412;0.0122755318;1.4658178858;0.1662751124
94.825;2.1485149819;0.0122805177;1.4657873413;0.166389982
94.85;2.1484259424;0.0122818185;1.46575697;0.1664549273
94.875;2.1483375827;0.0122794617;1.4657268263;0.166470274
94.9;2.1482500599;0.0122734829;1.4656969639;0.1664364567
94.925;2.1481635279;0.0122639258;1.4656674355;0.1663540179
94.95;2.1480781368;0.0122508414;1.4656382923;0.1662236049
94.975;2.1479940328;0.0122342884;1.4656095842;0.1660459681
