abe,freq,L
278,1656082070000,0.1627702774
279,1660967270000,0.1810882223
280,1665852470000,0.1981951901
281,1670737660000,0.214550032
282,1675622860000,0.2314057711
283,1680508060000,0.2502230327
284,1685393260000,0.2720272296
285,1690278460000,0.2970521382
286,1695163650000,0.3247215731
287,1700048850000,0.3538760007
288,1704934050000,0.3831534489
289,1709819250000,0.4114508105
290,1714704450000,0.4383675095
291,1719589640000,0.464467699
292,1724474840000,0.4911656963
293,1729360040000,0.5201354657
294,1734245240000,0.5524616895
295,1739130430000,0.5880342503
296,1744015630000,0.6255595527
297,1748900830000,0.6631563269
298,1753786030000,0.6991696685
299,1758671230000,0.7328123522
300,1763556420000,0.7644091269
301,1768441620000,0.7952056181
302,1773326820000,0.8268998641
303,1778212020000,0.8610908548
304,1783097220000,0.8987435639
305,1787982410000,0.9397617334
306,1792867610000,0.9828835596
307,1797752810000,1.026146505
308,1802638010000,1.0678545535
309,1807523200000,1.1075489617
310,1812408400000,1.1464572228
311,1817293600000,1.1872285819
312,1822178800000,1.2331363422
313,1827064000000,1.2870382945
314,1831949190000,1.3503474606
315,1836834390000,1.4222508992
316,1841719590000,1.4994800051
317,1846604790000,1.5769043317
318,1851489990000,1.6489739397
319,1856375180000,1.7115415739
320,1861260380000,1.76332114
321,1866145580000,1.8063295614
322,1871030780000,1.8451734764
323,1875915970000,1.8855162759
324,1880801170000,1.9323007671
325,1885686370000,1.9883337576
326,1890571570000,2.0536648374
327,1895456770000,2.1259423924
328,1900341960000,2.2015328638
329,1905227160000,2.2768864884
330,1910112360000,2.3496062738
331,1914997560000,2.4189437148
332,1919882760000,2.4857327996
333,1924767950000,2.5519707532
334,1929653150000,2.620145862
335,1934538350000,2.6924080268
336,1939423550000,2.769808759
337,1944308740000,2.8520051019
338,1949193940000,2.9375275641
339,1954079140000,3.024332636
340,1958964340000,3.110196488
341,1963849540000,3.1928495614
342,1968734730000,3.2701427808
343,1973619930000,3.3405425914
344,1978505130000,3.4038932631
345,1983390330000,3.4618370834
346,1988275530000,3.5173540152
347,1993160720000,3.5735759516
348,1998045920000,3.6325941557
